brand,dma_ash,dma_cals,dma_carbs,dma_fat,dma_fiber,dma_prot,ga_ash,ga_carbs,ga_fat,ga_fiber,ga_moist,ga_prot,ingredients,ingredients_paws,name,nutrition_paws,potential_allergens,quality_ingredients,questionable_ingredients
blue buffalo,0%,364/100g,42%,15%,8%,35%,0.0%,38.0%,14.0%,7.0%,9.0%,32.0%,"Deboned Chicken,Chicken Meal,Tapioca Starch,Peas,Pea Protein,Potatoes,Chicken Fat (preserved with Mixed Tocopherols),Menhaden Fish Meal (source of Omega 3 Fatty Acids),Pea Fiber,Powdered Cellulose,Flaxseed (source of Omega 6 Fatty Acids),Natural Flavor,Choline Chloride,Calcium Sulfate,DL-Methionine,Potassium Chloride,Dehydrated Alfalfa Meal,Calcium Chloride,Dried Chicory Root,Salt,Alfalfa Nutrient Concentrate,Taurine,Calcium Carbonate,preserved with Mixed Tocopherols,Sweet Potatoes,Carrots,Vegetable Juice for color,Ferrous Sulfate,Niacin (Vitamin B3),Iron Amino Acid Chelate,Zinc Amino Acid Chelate,Zinc Sulfate,Vitamin E Supplement,Blueberries,Cranberries,Barley Grass,Parsley,Turmeric,Dried Kelp,Yucca Schidigera Extract,Copper Sulfate,Thiamine Mononitrate (Vitamin B1),Copper Amino Acid Chelate,L-Ascorbyl-2-Polyphosphate (source of Vitamin C),L-Lysine,L-Carnitine,Biotin (Vitamin B7),Vitamin A Supplement,Manganese Sulfate,Manganese Amino Acid Chelate,Pyridoxine Hydrochloride (Vitamin B6),Calcium Pantothenate (Vitamin B5),Riboflavin (Vitamin B2),Vitamin D3 Supplement,Vitamin B12 Supplement,Folic Acid (Vitamin B9),Dried Yeast,Dried Enterococcus faecium fermentation product,Dried Lactobacillus acidophilus fermentation product,Dried Aspergillus niger fermentation extract,Dried Trichoderma longibrachiatum fermentation extract,Dried Bacillus subtilis fermentation extract,Calcium Iodate,Sodium Selenite,Oil of Rosemary.",[3],Indoor Health Grain-Free Chicken Recipe,[2],menhaden fish meal,"deboned chicken,chicken meal,menhaden fish meal",tapioca starch
blue buffalo,0%,373/100g,42%,16%,7%,35%,0.0%,38.0%,15.0%,6.0%,9.0%,32.0%,"Deboned Chicken,Chicken Meal,Menhaden Fish Meal (source of Omega 3 Fatty Acids),Brown Rice,Barley,Oatmeal,Peas,Pea Protein,Dried Egg Product,Chicken Fat (preserved with Mixed Tocopherols),Potato Starch,Powdered Cellulose,Natural Flavor,Flaxseed (source of Omega 6 Fatty Acids),Choline Chloride,DL-Methionine,Calcium Sulfate,Potassium Chloride,Calcium Chloride,Pea Fiber,Potatoes,Taurine,Dried Chicory Root,Dehydrated Alfalfa Meal,Alfalfa Nutrient Concentrate,Calcium Carbonate,Cranberries,preserved with Mixed Tocopherols,Salt,Sweet Potatoes,Carrots,Vegetable Juice for color,Ferrous Sulfate,Niacin (Vitamin B3),Iron Amino Acid Chelate,Zinc Amino Acid Chelate,Zinc Sulfate,Vitamin E Supplement,Blueberries,Barley Grass,Parsley,Turmeric,Dried Kelp,Yucca Schidigera Extract,Copper Sulfate,Thiamine Mononitrate (Vitamin B1),Copper Amino Acid Chelate,L-Ascorbyl-2-Polyphosphate (source of Vitamin C),L-Lysine,Biotin (Vitamin B7),L-Carnitine,Vitamin A Supplement,Manganese Sulfate,Manganese Amino Acid Chelate,Pyridoxine Hydrochloride (Vitamin B6),Calcium Pantothenate (Vitamin B5),Riboflavin (Vitamin B2),Vitamin D3 Supplement,Vitamin B12 Supplement,Folic Acid (Vitamin B9),Dried Yeast,Dried Enterococcus faecium fermentation product,Dried Lactobacillus acidophilus fermentation product,Dried Aspergillus niger fermentation extract,Dried Trichoderma longibrachiatum fermentation extract,Dried Bacillus subtilis fermentation extract,Calcium Iodate,Sodium Selenite,Oil of Rosemary.",[3],Indoor Health Chicken & Brown Rice Recipe,[2],"menhaden fish meal,dried egg product","deboned chicken,chicken meal,menhaden fish meal","brown rice,potato starch"
blue buffalo,0%,373/100g,42%,16%,7%,35%,0.0%,38.0%,15.0%,6.0%,9.0%,32.0%,"Deboned Chicken,Chicken Meal,Menhaden Fish Meal (source of Omega 3 Fatty Acids),Brown Rice,Barley,Oatmeal,Chicken Fat (preserved with Mixed Tocopherols),Peas,Powdered Cellulose,Natural Flavor,Potatoes,Flaxseed (source of Omega 6 Fatty Acids),Dried Egg,Psyllium Seed Husks,DL-Methionine,Potassium Chloride,Choline Chloride,Potato Starch,Dried Chicory Root,Salt,Calcium Carbonate,Caramel Color,Dehydrated Alfalfa Meal,Taurine,Cranberries,Sweet Potatoes,Carrots,preserved with Mixed Tocopherols,Zinc Amino Acid Chelate,Zinc Sulfate,Ferrous Sulfate,Niacin,Iron Amino Acid Chelate,Vitamin E Supplement,Yucca Schidigera Extract,L-Lysine,Parsley,Dried Kelp,Blueberries,Apples,Spinach,Blackberries,Pomegranate,Pumpkin,Barley Grass,Turmeric,L-Ascorbyl-2-Polyphosphate (source of Vitamin C),Thiamine Mononitrate (Vitamin B1),Copper Sulfate,Biotin (Vitamin B7),Vitamin A Supplement,Copper Amino Acid Chelate,Pyridoxine Hydrochloride (Vitamin B6),Calcium Pantothenate (Vitamin B5),Riboflavin (Vitamin B2),Manganese Sulfate,L-Carnitine,Manganese Amino Acid Chelate,Vitamin D3 Supplement,Beta Carotene,Vitamin B12 Supplement,Folic Acid (Vitamin B9),Calcium Iodate,Dried Yeast,Dried Enterococcus faecium fermentation product,Dried Lactobacillus acidophilus fermentation product,Dried Aspergillus niger fermentation extract,Dried Trichoderma longibrachiatum fermentation extract,Dried Bacillus subtilis fermentation extract,Sodium Selenite,Oil of Rosemary.",[3],Indoor Hairball Control Chicken & Brown Rice Recipe,[2],"menhaden fish meal,dried egg","deboned chicken,chicken meal,menhaden fish meal","brown rice,potato starch"
blue buffalo,0%,336/100g,48%,10%,9%,33%,0.0%,44.0%,9.0%,8.0%,9.0%,30.0%,"Deboned Chicken,Chicken Meal,Barley,Brown Rice,Menhaden Fish Meal (source of Omega 3 Fatty Acids),Peas,Powdered Cellulose,Pea Protein,Dried Tomato Pomace,Chicken Fat (preserved with Mixed Tocopherols),Natural Flavor,Potatoes,Flaxseed (source of Omega 6 Fatty Acids),Calcium Carbonate,Psyllium Seed Husks,Dehydrated Alfalfa Meal,Potassium Chloride,Dicalcium Phosphate,Choline Chloride,Potato Starch,DL-Methionine,Caramel Color,Taurine,Salt,Sweet Potatoes,Carrots,preserved with Mixed Tocopherols,L-Carnitine,Zinc Amino Acid Chelate,Zinc Sulfate,Ferrous Sulfate,Niacin,Iron Amino Acid Chelate,Vitamin E Supplement,Yucca Schidigera Extract,Blueberries,Cranberries,Apples,Blackberries,Pomegranate,Spinach,Pumpkin,Barley Grass,Dried Kelp,Parsley,Turmeric,L-Ascorbyl-2-Polyphosphate (source of Vitamin C),Thiamine Mononitrate (Vitamin B1),L-Lysine,Copper Sulfate,Biotin (Vitamin B7),Vitamin A Supplement,Copper Amino Acid Chelate,Pyridoxine Hydrochloride (Vitamin B6),Calcium Pantothenate (Vitamin B5),Riboflavin (Vitamin B2),Manganese Sulfate,Manganese Amino Acid Chelate,Vitamin D3 Supplement,Beta Carotene,Vitamin B12 Supplement,Folic Acid (Vitamin B9),Calcium Iodate,Dried Yeast,Dried Enterococcus faecium fermentation product,Dried Lactobacillus acidophilus fermentation product,Dried Aspergillus niger fermentation extract,Dried Trichoderma longibrachiatum fermentation extract,Dried Bacillus subtilis fermentation extract,Sodium Selenite,Oil of Rosemary.",[3],Indoor Hairball & Weight Control Chicken & Brown Rice Recipe,[1],menhaden fish meal,"deboned chicken,chicken meal,menhaden fish meal","brown rice,potato starch"
blue buffalo,0%,363/100g,48%,14%,7%,31%,0.0%,44.0%,13.0%,6.0%,9.0%,28.0%,"Deboned Chicken,Chicken Meal,Brown Rice,Barley,Turkey Meal,Oatmeal,Chicken Fat (preserved with Mixed Tocopherols),Powdered Cellulose,Peas,Natural Flavor,Flaxseed (source of Omega 3 Fatty Acids),Potatoes,Psyllium Seed Husks,Potassium Chloride,Dehydrated Alfalfa Meal,Salt,Choline Chloride,Calcium Carbonate,Potato Starch,DL-Methionine,Caramel Color,Taurine,L-Lysine,preserved with Mixed Tocopherols,Sweet Potatoes,Carrots,Zinc Amino Acid Chelate,Zinc Sulfate,Ferrous Sulfate,Niacin,Iron Amino Acid Chelate,Vitamin E Supplement,Yucca Schidigera Extract,Blueberries,Cranberries,Apples,Blackberries,Pomegranate,Spinach,Pumpkin,Barley Grass,Dried Kelp,Parsley,Turmeric,L-Ascorbyl-2-Polyphosphate (source of Vitamin C),Thiamine Mononitrate (Vitamin B1),Copper Sulfate,Biotin (Vitamin B7),Vitamin A Supplement,Copper Amino Acid Chelate,Pyridoxine Hydrochloride (Vitamin B6),Calcium Pantothenate (Vitamin B5),Riboflavin (Vitamin B2),Manganese Sulfate,L-Carnitine,Manganese Amino Acid Chelate,Vitamin D3 Supplement,Beta Carotene,Vitamin B12 Supplement,Folic Acid (Vitamin B9),Calcium Iodate,Dried Yeast,Dried Enterococcus faecium fermentation product,Dried Lactobacillus acidophilus fermentation product,Dried Aspergillus niger fermentation extract,Dried Trichoderma longibrachiatum fermentation extract,Dried Bacillus subtilis fermentation extract,Sodium Selenite,Oil of Rosemary.",[4],Indoor Hairball Control Chicken & Brown Rice Recipe For Mature Cats,[1],,"deboned chicken,chicken meal,turkey meal","brown rice,potato starch"
blue buffalo,0%,395/100g,38%,20%,4%,37%,0.0%,35.0%,18.0%,4.0%,9.0%,34.0%,"Deboned Chicken,Chicken Meal,Brown Rice,Barley,Oatmeal,Pea Protein,Peas,Chicken Fat (preserved with Mixed Tocopherols),Dried Egg Product,Menhaden Fish Meal,Pea Fiber,Natural Flavor,Flaxseed (source of Omega 6 Fatty Acids),Calcium Chloride,Fish Oil (source of Omega 3 Fatty Acids),DL-Methionine,Calcium Sulfate,Choline Chloride,Potatoes,Potassium Chloride,Dehydrated Alfalfa Meal,Dried Chicory Root,Alfalfa Nutrient Concentrate,Taurine,Calcium Carbonate,Salt,Cranberries,preserved with Mixed Tocopherols,Sweet Potatoes,Carrots,Vegetable Juice for color,Ferrous Sulfate,Niacin (Vitamin B3),Iron Amino Acid Chelate,Zinc Amino Acid Chelate,Zinc Sulfate,Vitamin E Supplement,Blueberries,Barley Grass,Parsley,Turmeric,Dried Kelp,Yucca Schidigera Extract,Copper Sulfate,Thiamine Mononitrate (Vitamin B1),Copper Amino Acid Chelate,L-Ascorbyl-2-Polyphosphate (source of Vitamin C),L-Lysine,Biotin (Vitamin B7),L-Carnitine,Vitamin A Supplement,Manganese Sulfate,Manganese Amino Acid Chelate,Pyridoxine Hydrochloride (Vitamin B6),Calcium Pantothenate (Vitamin B5),Riboflavin (Vitamin B2),Vitamin D3 Supplement,Vitamin B12 Supplement,Folic Acid (Vitamin B9),Dried Yeast,Dried Enterococcus faecium fermentation product,Dried Lactobacillus acidophilus fermentation product,Dried Aspergillus niger fermentation extract,Dried Trichoderma longibrachiatum fermentation extract,Dried Bacillus subtilis fermentation extract,Calcium Iodate,Sodium Selenite,Oil of Rosemary.",[3],Healthy Living Chicken & Brown Rice Recipe,[2],"dried egg product,menhaden fish meal,fish oil","deboned chicken,chicken meal,menhaden fish meal",brown rice
blue buffalo,3%,398/100g,32%,22%,4%,40%,2.4%,29.1%,20.0%,3.5%,9.0%,36.0%,"Deboned Chicken,Chicken Meal,Menhaden Fish Meal (source of Omega 3 Fatty Acids),Brown Rice,Barley,Oatmeal,Chicken Fat (preserved with Mixed Tocopherols),Pea Protein,Peas,Dried Egg Product,Natural Flavor,Fish Oil (source of ARA-Arachidonic Acid and DHA-Docosahexaenoic Acid),Powdered Cellulose,Flaxseed (source of Omega 6 Fatty Acids),DL-Methionine,Calcium Chloride,Choline Chloride,Calcium Sulfate,Potatoes,Dried Chicory Root,Dehydrated Alfalfa Meal,Taurine,Potassium Chloride,Salt,Pea Fiber,Alfalfa Nutrient Concentrate,Calcium Carbonate,Vitamin E Supplement,Sweet Potatoes,Carrots,preserved with Mixed Tocopherols,Vegetable Juice for color,Ferrous Sulfate,Niacin (Vitamin B3),Iron Amino Acid Chelate,Zinc Amino Acid Chelate,Zinc Sulfate,Blueberries,Cranberries,Barley Grass,Parsley,Turmeric,Dried Kelp,Yucca Schidigera Extract,Copper Sulfate,Thiamine Mononitrate (Vitamin B1),Copper Amino Acid Chelate,L-Ascorbyl-2-Polyphosphate (source of Vitamin C),L-Lysine,Biotin (Vitamin B7),Vitamin A Supplement,Manganese Sulfate,Manganese Amino Acid Chelate,Pyridoxine Hydrochloride (Vitamin B6),Calcium Pantothenate (Vitamin B5),Riboflavin (Vitamin B2),Vitamin D3 Supplement,Vitamin B12 Supplement,Folic Acid (Vitamin B9),Dried Yeast,Dried Enterococcus faecium fermentation product,Dried Lactobacillus acidophilus fermentation product,Dried Aspergillus niger fermentation extract,Dried Trichoderma longibrachiatum fermentation extract,Dried Bacillus subtilis fermentation extract,Calcium Iodate,Sodium Selenite,Oil of Rosemary.",[3],Healthy Growth Chicken & Brown Rice Recipe For Kittens,[2],"menhaden fish meal,dried egg product,fish oil","deboned chicken,chicken meal,menhaden fish meal",brown rice
blue buffalo,0%,337/100g,46%,11%,10%,33%,0.0%,42.0%,10.0%,9.0%,9.0%,30.0%,"Deboned Chicken,Chicken Meal,Tapioca Starch,Peas,Menhaden Fish Meal (source of Omega 3 Fatty Acids),Potato Starch,Pea Protein,Potatoes,Powdered Cellulose,Flaxseed (source of Omega 6 Fatty Acids),Pea Fiber,Chicken Fat (preserved with Mixed Tocopherols),Natural Flavor,Calcium Chloride,Choline Chloride,Potassium Sulfate,DL-Methionine,Dehydrated Alfalfa Meal,Taurine,Dried Chicory Root,Alfalfa Nutrient Concentrate,Calcium Carbonate,Calcium Sulfate,Salt,L-Carnitine,Sweet Potatoes,Carrots,preserved with Mixed Tocopherols,Vegetable Juice for color,Ferrous Sulfate,Niacin (Vitamin B3),Iron Amino Acid Chelate,Zinc Amino Acid Chelate,Zinc Sulfate,Vitamin E Supplement,Blueberries,Cranberries,Barley Grass,Parsley,Turmeric,Dried Kelp,Yucca Schidigera Extract,Copper Sulfate,Thiamine Mononitrate (Vitamin B1),Copper Amino Acid Chelate,L-Ascorbyl-2-Polyphosphate (source of Vitamin C),L-Lysine,Biotin (Vitamin B7),Vitamin A Supplement,Manganese Sulfate,Manganese Amino Acid Chelate,Pyridoxine Hydrochloride (Vitamin B6),Calcium Pantothenate (Vitamin B5),Riboflavin (Vitamin B2),Vitamin D3 Supplement,Vitamin B12 Supplement,Folic Acid (Vitamin B9),Dried Yeast,Dried Enterococcus faecium fermentation product,Dried Lactobacillus acidophilus fermentation product,Dried Aspergillus niger fermentation extract,Dried Trichoderma longibrachiatum fermentation extract,Dried Bacillus subtilis fermentation extract,Calcium Iodate,Sodium Selenite,Oil of Rosemary.",[3],Freedom Grain-Free Indoor Weight Control Chicken Recipe,[1],menhaden fish meal,"deboned chicken,chicken meal,menhaden fish meal","tapioca starch,potato starch"
blue buffalo,0%,376/100g,43%,16%,5%,35%,0.0%,39.0%,15.0%,5.0%,9.0%,32.0%,"Deboned Chicken,Chicken Meal,Brown Rice,Barley,Oatmeal,Pea Protein,Peas,Chicken Fat (preserved with Mixed Tocopherols),Menhaden Fish Meal (source of Omega 3 Fatty Acids),Natural Flavor,Powdered Cellulose,Flaxseed (source of Omega 6 Fatty Acids),Fish Oil (source of DHA-Docosahexaenoic Acid),Pea Fiber,DL-Methionine,Choline Chloride,Salt,Potassium Chloride,Potatoes,Dehydrated Alfalfa Meal,Dried Chicory Root,Taurine,Alfalfa Nutrient Concentrate,Calcium Carbonate,Vitamin E Supplement,Calcium Sulfate,Cranberries,preserved with Mixed Tocopherols,Sweet Potatoes,Carrots,L-Ascorbyl-2-Polyphosphate (source of Vitamin C),L-Carnitine,Vegetable Juice for color,Ferrous Sulfate,Niacin (Vitamin B3),Iron Amino Acid Chelate,Zinc Amino Acid Chelate,Zinc Sulfate,Blueberries,Barley Grass,Parsley,Turmeric,Dried Kelp,Yucca Schidigera Extract,Copper Sulfate,Thiamine Mononitrate (Vitamin B1),Copper Amino Acid Chelate,L-Lysine,Biotin (Vitamin B7),Vitamin A Supplement,Manganese Sulfate,Manganese Amino Acid Chelate,Pyridoxine Hydrochloride (Vitamin B6),Calcium Pantothenate (Vitamin B5),Riboflavin (Vitamin B2),Vitamin D3 Supplement,Vitamin B12 Supplement,Folic Acid (Vitamin B9),Dried Yeast,Dried Enterococcus faecium fermentation product,Dried Lactobacillus acidophilus fermentation product,Dried Aspergillus niger fermentation extract,Dried Trichoderma longibrachiatum fermentation extract,Dried Bacillus subtilis fermentation extract,Calcium Iodate,Sodium Selenite,Oil of Rosemary.",[3],Healthy Aging Chicken & Brown Rice For Mature Cats,[2],"menhaden fish meal,fish oil","deboned chicken,chicken meal,menhaden fish meal",brown rice
blue buffalo,0%,364/100g,42%,15%,8%,35%,0.0%,38.0%,14.0%,7.0%,9.0%,32.0%,"Whitefish,Menhaden Fish Meal (source of Omega 3 Fatty Acids),Tapioca Starch,Peas,Chicken Meal,Pea Protein,Potato Starch,Chicken Fat (preserved with Mixed Tocopherols),Pea Fiber,Dried Egg Product,Powdered Cellulose,Natural Flavor,Flaxseed (source of Omega 6 Fatty Acids),Potassium Chloride,Choline Chloride,Calcium Sulfate,DL-Methionine,Dehydrated Alfalfa Meal,Potatoes,Taurine,Dried Chicory Root,Alfalfa Nutrient Concentrate,Calcium Carbonate,Salt,Calcium Chloride,preserved with Mixed Tocopherols,Sweet Potatoes,Carrots,Vegetable Juice for color,Ferrous Sulfate,Niacin (Vitamin B3),Iron Amino Acid Chelate,Zinc Amino Acid Chelate,Zinc Sulfate,Vitamin E Supplement,Blueberries,Cranberries,Barley Grass,Parsley,Turmeric,Dried Kelp,Yucca Schidigera Extract,Copper Sulfate,Thiamine Mononitrate (Vitamin B1),Copper Amino Acid Chelate,L-Ascorbyl-2-Polyphosphate (source of Vitamin C),L-Lysine,L-Carnitine,Biotin (Vitamin B7),Vitamin A Supplement,Manganese Sulfate,Manganese Amino Acid Chelate,Pyridoxine Hydrochloride (Vitamin B6),Calcium Pantothenate (Vitamin B5),Riboflavin (Vitamin B2),Vitamin D3 Supplement,Vitamin B12 Supplement,Folic Acid (Vitamin B9),Dried Yeast,Dried Enterococcus faecium fermentation product,Dried Lactobacillus acidophilus fermentation product,Dried Aspergillus niger fermentation extract,Dried Trichoderma longibrachiatum fermentation extract,Dried Bacillus subtilis fermentation extract,Calcium Iodate,Sodium Selenite,Oil of Rosemary",[3],Freedom Grain-Free Indoor Fish Recipe (Dry),[2],"whitefish,menhaden fish meal,dried egg product","whitefish,menhaden fish meal,chicken meal","tapioca starch,potato starch"
blue buffalo,0%,351/100g,45%,13%,9%,33%,0.0%,41.0%,12.0%,8.0%,9.0%,30.0%,"Deboned Chicken,Chicken Meal,Tapioca Starch,Peas,Potatoes,Potato Starch,Pea Protein,Menhaden Fish Meal (source of Omega 3 Fatty Acids),Pea Fiber,Chicken Fat (preserved with Mixed Tocopherols),Powdered Cellulose,Flaxseed (source of Omega 6 Fatty Acids),Natural Flavor,Fish Oil (source of DHA-Docosahexaenoic Acid),DL-Methionine,Choline Chloride,Dehydrated Alfalfa Meal,Potassium Chloride,Taurine,Dried Chicory Root,L-Lysine,Alfalfa Nutrient Concentrate,Calcium Carbonate,Vitamin E Supplement,Potassium Sulfate,Salt,preserved with Mixed Tocopherols,Sweet Potatoes,Carrots,L-Ascorbyl-2-Polyphosphate (source of Vitamin C),L-Carnitine,Vegetable Juice for color,Ferrous Sulfate,Niacin (Vitamin B3),Iron Amino Acid Chelate,Zinc Amino Acid Chelate,Zinc Sulfate,Blueberries,Cranberries,Barley Grass,Parsley,Turmeric,Dried Kelp,Yucca Schidigera Extract,Copper Sulfate,Thiamine Mononitrate (Vitamin B1),Copper Amino Acid Chelate,Biotin (Vitamin B7),Vitamin A Supplement,Manganese Sulfate,Manganese Amino Acid Chelate,Pyridoxine Hydrochloride (Vitamin B6),Calcium Pantothenate (Vitamin B5),Riboflavin (Vitamin B2),Vitamin D3 Supplement,Vitamin B12 Supplement,Folic Acid (Vitamin B9),Dried Yeast,Dried Enterococcus faecium fermentation product,Dried Lactobacillus acidophilus fermentation product,Dried Aspergillus niger fermentation extract,Dried Trichoderma longibrachiatum fermentation extract,Dried Bacillus subtilis fermentation extract,Calcium Iodate,Sodium Selenite,Oil of Rosemary",[3],Freedom Grain-Free Indoor Chicken Recipe For Mature Cats (Dry),[1],"menhaden fish meal,fish oil","deboned chicken,chicken meal,menhaden fish meal","tapioca starch,potato starch"
blue buffalo,3%,386/100g,34%,20%,4%,40%,2.3%,30.7%,18.0%,4.0%,9.0%,36.0%,"Deboned Chicken,Chicken Meal,Tapioca Starch,Peas,Pea Protein,Menhaden Fish Meal (source of Omega 3 Fatty Acids),Chicken Fat (preserved with Mixed Tocopherols),Flaxseed (source of Omega 6 Fatty Acids),Natural Flavor,Dried Egg Product,Fish Oil (source of ARA-Arachidonic Acid and DHA-Docosahexaenoic Acid),Potatoes,Turkey Meal,Powdered Cellulose,Pea Fiber,Choline Chloride,Potassium Chloride,Calcium Sulfate,DL-Methionine,Salt,Dehydrated Alfalfa Meal,Dried Chicory Root,Taurine,Alfalfa Nutrient Concentrate,Calcium Carbonate,Calcium Chloride,Vitamin E Supplement,Sweet Potatoes,Carrots,preserved with Mixed Tocopherols,Vegetable Juice for color,Ferrous Sulfate,Niacin (Vitamin B3),Iron Amino Acid Chelate,Zinc Amino Acid Chelate,Zinc Sulfate,Blueberries,Cranberries,Barley Grass,Parsley,Turmeric,Dried Kelp,Yucca Schidigera Extract,Copper Sulfate,Thiamine Mononitrate (Vitamin B1),Copper Amino Acid Chelate,L-Ascorbyl-2-Polyphosphate (source of Vitamin C),L-Lysine,Biotin (Vitamin B7),Vitamin A Supplement,Manganese Sulfate,Manganese Amino Acid Chelate,Pyridoxine Hydrochloride (Vitamin B6),Calcium Pantothenate (Vitamin B5),Riboflavin (Vitamin B2),Vitamin D3 Supplement,Vitamin B12 Supplement,Folic Acid (Vitamin B9),Dried Yeast,Dried Enterococcus faecium fermentation product,Dried Lactobacillus acidophilus fermentation product,Dried Aspergillus niger fermentation extract,Dried Trichoderma longibrachiatum fermentation extract,Dried Bacillus subtilis fermentation extract,Calcium Iodate,Sodium Selenite,Oil of Rosemary",[3],Freedom Grain-Free Indoor Chicken Recipe For Kittens (Dry),[2],"menhaden fish meal,dried egg product,fish oil","deboned chicken,chicken meal,menhaden fish meal,turkey meal",tapioca starch
blue buffalo,0%,354/100g,48%,13%,8%,31%,0.0%,44.0%,12.0%,7.0%,9.0%,28.0%,"Deboned Turkey,Turkey Meal,Tapioca Starch,Peas,Pea Protein Concentrate,Pea Fiber,Potatoes,Canola Oil (source of Omega 6 Fatty Acids),Natural Flavor,Fish Oil (source of Omega 3 Fatty Acids),Choline Chloride,DL-Methionine,Potassium Chloride,Salt,Pumpkin,Dried Chicory Root,Flaxseed (source of Omega 3 and 6 Fatty Acids),Potato Starch,Calcium Carbonate,Caramel Color,Dehydrated Alfalfa Meal,Taurine,Vitamin E Supplement,L-Lysine,Mixed Tocopherols (a natural preservative),L-Ascorbyl-2-Polyphosphate (source of Vitamin C),Zinc Amino Acid Chelate,Zinc Sulfate,Blueberries,Cranberries,Barley Grass,Parsley,Yucca Schidigera Extract,Dried Kelp,Turmeric,Ferrous Sulfate,Nicotinic Acid (Vitamin B3),Iron Amino Acid Chelate,Oil of Rosemary,L-Carnitine,Thiamine Mononitrate (Vitamin B1),Copper Sulfate,Biotin (Vitamin B7),Vitamin A Supplement,Copper Amino Acid Chelate,Pyridoxine Hydrochloride (Vitamin B6),Calcium Pantothenate (Vitamin B5),Riboflavin (Vitamin B2),Manganese Sulfate,Manganese Amino Acid Chelate,Vitamin D3 Supplement,Vitamin B12 Supplement,Folic Acid (Vitamin B9),Calcium Iodate,Dried Yeast,Dried Enterococcus faecium fermentation product,Dried Lactobacillus acidophilus fermentation product,Dried Aspergillus niger fermentation extract,Dried Trichoderma longibrachiatum fermentation extract,Dried Bacillus subtilis fermentation extract,Sodium Selenite.",[3],Basics Grain-Free Turkey And Potato Recipe For Mature Cats,[1],fish oil,"deboned turkey,turkey meal","tapioca starch,potato starch"
blue buffalo,0%,368/100g,45%,15%,7%,33%,0.0%,41.0%,14.0%,6.0%,9.0%,30.0%,"Deboned Turkey,Turkey Meal,Tapioca Starch,Peas,Pea Protein Concentrate,Canola Oil (source of Omega 6 Fatty Acids),Pea Fiber,Natural Flavor,Potatoes,Fish Oil (source of Omega 3 Fatty Acids),Choline Chloride,Calcium Carbonate,Potassium Chloride,DL-Methionine,Salt,Pumpkin,Dried Chicory Root,Flaxseed (source of Omega 3 and 6 Fatty Acids),Potato Starch,Caramel Color,Dehydrated Alfalfa Meal,Vitamin E Supplement,Taurine,Mixed Tocopherols (a natural preservative),L-Lysine,L-Ascorbyl-2-Polyphosphate (source of Vitamin C),Zinc Amino Acid Chelate,Zinc Sulfate,Blueberries,Cranberries,Barley Grass,Parsley,Yucca Schidigera Extract,Dried Kelp,Turmeric,Ferrous Sulfate,Nicotinic Acid (Vitamin B3),Iron Amino Acid Chelate,Oil of Rosemary,L-Carnitine,Thiamine Mononitrate (Vitamin B1),Copper Sulfate,Biotin (Vitamin B7),Vitamin A Supplement,Copper Amino Acid Chelate,Pyridoxine Hydrochloride (Vitamin B6),Calcium Pantothenate (Vitamin B5),Riboflavin (Vitamin B2),Manganese Sulfate,Manganese Amino Acid Chelate,Vitamin D3 Supplement,Vitamin B12 Supplement,Folic Acid (Vitamin B9),Calcium Iodate,Dried Yeast,Dried Enterococcus faecium fermentation product,Dried Lactobacillus acidophilus fermentation product,Dried Aspergillus niger fermentation extract,Dried Trichoderma longibrachiatum fermentation extract,Dried Bacillus subtilis fermentation extract,Sodium Selenite.",[3],Basics Grain-Free Indoor Turkey & Potato Recipe,[1],fish oil,"deboned turkey,turkey meal","tapioca starch,potato starch"
